a	a
b	b e
c	s e
d	d e
e	e
f	ɛ f e
g	ʒ e
h	a ɡ a
i	i
j	ʒ o t ɐ
k	k a
l	ɛ l e
m	ẽ m i
n	e n e
o	ɔ
p	p e
q	k e
r	ɛ ʁ e
s	ɛ s i
t	t e
u	u
v	v e
w	d a b l i w
x	ʃ i s
y	i p i s i l õ
z	z e
niette	n i ɛ t t e
niette	n i ɛ t t e
tts	t e t e ɛ s i
monserrat	m õ s s e ʁ a t e
.	pau
;	pau
,	pau
tcc	t e s e s e
aa	a a
aa	a a
aaa	a a a
aaai	a a a i
aaam	a a a ẽ m i
aaas	a a a ɛ s i
aaas	a a a ɛ s i
aaaw	a a a d a b l i w
aab	a a b e
aab	a a b e
aab	a a b e
aaba	a a b e a
aabc	a a b e s e
aabo	a a b e ɔ
aabp	a a b e p e
aabw	a a b e d a b l i w
aac	a a s e
aac	a a s e
aacar	a a s e a ɛ ʁ e
aacc	a a s e s e
aaccup	a a s e s e u p e
aacmi	a a s e ẽ m i i
aacno	a a s e e n e ɔ
aacr	a a s e ɛ ʁ e
aacs	a a s e ɛ s i
aacsb	a a s e ɛ s i b e
aacta	a a s e t t a
aacupr	a a s e u p e ɛ ʁ e
aad	a a d e
aadt	a a d e t e
aadts	a a d e t e ɛ s i
aadu	a a d e u
aae	a a e
aaea	a a i ɛ a
aaert	a a i ɛ ɛ ʁ e t e
aaf	a a ɛ f e
aafc	a a ɛ f e s e
aafca	a a ɛ f e s e a
aafcs	a a ɛ f e s e ɛ s i
aafld	a a ɛ f e ɛ l e d e
aafpoa	a a ɛ f e p e ɔ a
aagpbl	a a ʒ e p e b e ɛ l e
aahhe	a a a ɡ a a ɡ a e
aai	a a i
aaib	a a i b e
aaip	a a i p e
aak	a a k a
aap	a a p e
aap	a a p e
aapb	a a p e b e
aapc	a a p e s e
aapep	a a p e i ɛ p e
aapg	a a p e ʒ e
aapm	a a p e ẽ m i
aapt	a a p e t e
aarm	a a ɛ ʁ e ẽ m i
ab	a b e
ab	a b e
aba	a b e a
abaj	a b e a ʒ o t ɐ
abc	a b e s e
abg	a b e ʒ e
abg	a b e ʒ e
abh	a b e a ɡ a
abhd	a b e a ɡ a d e
abhi	a b e a ɡ a i
abk	a b e k a
abl	a b e ɛ l e
abl	a b e ɛ l e
abl	a b e ɛ l e
ablv	a b e ɛ l e v e
abm	a b e ẽ m i
abmc	a b e ẽ m i s e
abn	a b e e n e
abns	a b e e n e ɛ s i
abp	a b e p e
abp	a b e p e
abpd	a b e p e d e
abpi	a b e p e i
abpn	a b e p e e n e
abpp	a b e p e p e
abprs	a b e p e ɛ ʁ e ɛ s i
abpw	a b e p e d a b l i w
abr	a b e ɛ ʁ e
abr	a b e ɛ ʁ e
abv	a b e v e
abv	a b e v e
